Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,183.979996,184.070007,182.479996,182.919998,182.919998,119636836
2014-01-03,183.210007,183.600006,182.630005,182.884995,182.884995,81390502
2014-01-06,183.470001,183.559998,182.080002,182.360001,182.360001,108028139
2014-01-07,183.089996,183.789993,182.949997,183.479996,183.479996,86144169
2014-01-08,183.449997,183.830002,182.889999,183.520004,183.520004,96582234
2014-01-09,184.100006,184.130005,182.794998,183.639999,183.639999,90683302
2014-01-10,183.949997,184.220001,183.009995,184.139999,184.139999,102026318
2014-01-13,183.710007,184.179993,181.339996,181.684998,181.684998,149891938
2014-01-14,182.279999,183.770004,181.949997,183.669998,183.669998,105016055
2014-01-15,184.100006,184.940002,183.710205,184.660004,184.660004,98525721
2014-01-16,184.279999,184.661804,183.830002,184.419998,184.419998,72290520
2014-01-17,184.100006,184.449997,183.320007,183.634995,183.634995,107848616
2014-01-21,184.699997,184.770004,183.050003,184.179993,184.179993,88621138
2014-01-22,184.490005,184.570007,183.910004,184.300003,184.300003,61270816
2014-01-23,183.360001,183.399994,181.820007,182.789993,182.789993,132496880
2014-01-24,181.600006,181.660004,178.830002,178.889999,178.889999,208677093
2014-01-27,179.059998,179.520004,177.119995,178.009995,178.009995,180843004
2014-01-28,178.139999,179.300003,178.119995,179.070007,179.070007,110463152
2014-01-29,177.559998,178.550003,176.880005,177.350006,177.350006,216597269
2014-01-30,178.860001,179.809998,178.259995,179.229996,179.229996,118938051
2014-01-31,177.020004,179.289993,176.919998,178.179993,178.179993,194677861
2014-02-03,177.949997,178.369995,173.830002,174.169998,174.169998,254837004
2014-02-04,174.949997,175.839996,174.105499,175.384995,175.384995,165012351
2014-02-05,174.789993,175.559998,173.710007,175.169998,175.169998,164230470
2014-02-06,175.580002,177.479996,175.220901,177.479996,177.479996,132877526
2014-02-07,178.309998,179.869995,177.729996,179.679993,179.679993,170787197
2014-02-10,179.699997,180.070007,179.210007,180.009995,180.009995,92218729
2014-02-11,180.160004,182.438995,180.038895,181.979996,181.979996,121577800
2014-02-12,182.220001,182.830002,181.705002,182.070007,182.070007,94717638
2014-02-13,180.839996,183.199997,180.830002,183.009995,183.009995,100542155
2014-02-14,182.839996,184.360001,182.669998,184.020004,184.020004,96498305
2014-02-18,184.190002,184.490005,183.649994,184.240005,184.240005,80460878
2014-02-19,183.759995,184.949997,182.869995,183.020004,183.020004,126524261
2014-02-20,183.270004,184.520004,182.600006,184.100006,184.100006,104998099
2014-02-21,184.490005,184.889999,183.800003,183.889999,183.889999,118116359
2014-02-24,184.279999,186.149994,184.199997,184.910004,184.910004,114063868
2014-02-25,185.029999,185.589996,184.229996,184.839996,184.839996,117084901
2014-02-26,185.110001,185.600006,184.330002,184.850006,184.850006,98677144
2014-02-27,184.589996,185.869995,184.369995,185.820007,185.820007,93880780
2014-02-28,185.789993,187.149994,185.050003,186.289993,186.289993,150842000
2014-03-03,184.690002,185.449997,183.750000,184.979996,184.979996,167748455
2014-03-04,186.750000,187.979996,186.750000,187.580002,187.580002,167545852
2014-03-05,187.720001,188.070007,187.449997,187.750000,187.750000,88376859
2014-03-06,188.210007,188.610001,187.779602,188.179993,188.179993,82516500
2014-03-07,188.869995,188.960007,187.429993,188.259995,188.259995,114513432
2014-03-10,187.940002,188.229996,187.080002,188.160004,188.160004,74939176
2014-03-11,188.440002,188.710007,186.800003,187.229996,187.229996,99009013
2014-03-12,186.320007,187.350006,185.899994,187.279999,187.279999,104824323
2014-03-13,187.839996,187.990005,184.660004,185.179993,185.179993,155014237
2014-03-14,184.800003,185.800003,184.440002,184.660004,184.660004,153919598
2014-03-17,185.589996,186.770004,185.509995,186.330002,186.330002,98359454
2014-03-18,186.710007,187.910004,186.509995,187.660004,187.660004,101804519
2014-03-19,187.699997,187.940002,185.470001,186.660004,186.660004,176267253
2014-03-20,186.250000,187.889999,185.919998,187.746994,187.746994,117240972
2014-03-21,187.720001,189.023895,186.029999,186.199997,186.199997,163127905
2014-03-24,186.820007,187.070007,184.619995,185.429993,185.429993,121411145
2014-03-25,186.369995,186.940002,185.270004,186.309998,186.309998,103851737
2014-03-26,187.029999,187.339996,184.919998,184.970001,184.970001,119842897
2014-03-27,184.770004,185.339996,183.899994,184.580002,184.580002,142382757
2014-03-28,185.104996,186.419998,185.000000,185.490005,185.490005,101641547
2014-03-31,186.649994,187.300003,185.521606,187.009995,187.009995,99744911
2014-04-01,187.619995,188.360001,187.001495,188.250000,188.250000,89193125
2014-04-02,188.500000,189.130005,188.139999,188.880005,188.880005,78773818
2014-04-03,189.169998,189.220001,188.050003,188.630005,188.630005,77435320
2014-04-04,189.639999,189.699997,186.100006,186.399994,186.399994,169380705
2014-04-07,185.899994,186.259995,183.960007,184.339996,184.339996,140802699
2014-04-08,184.210007,185.399994,183.589996,185.100006,185.100006,112659755
2014-04-09,185.600006,187.149994,185.059998,187.089996,187.089996,100253612
2014-04-10,187.089996,187.169998,182.929993,183.154999,183.154999,172959331
